,co_fracc,latitud,longitud,barrio,comuna,fecha,n_personas
3372,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-04-27,4
3373,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-04-28,2
3374,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-04-29,2
3375,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-05-01,2
3376,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-05-04,2
3377,6_16,-34.6259022013004,-58.438332920650794,Caballito,6,2020-05-08,2
3378,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-03-23,1
3379,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-03-25,2
3380,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-04-04,1
3381,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-04-18,1
3382,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-04-20,1
3383,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-04-26,1
3384,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-04-29,2
3385,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-05-10,1
3386,6_17,-34.6213413622173,-58.439843756256295,Caballito,6,2020-05-19,1
3387,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-03-25,1
3388,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-03-27,1
3389,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-03-21,1
3390,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-03-19,4
3391,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-04-05,1
3392,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-04-12,2
3393,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-04-18,1
3394,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-05-08,3
3395,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-05-15,1
3396,6_18,-34.618187849484,-58.4331575019386,Caballito,6,2020-05-18,1
3397,6_19,-34.6197884652806,-58.4311772200033,Caballito,6,2020-03-25,1
3398,6_19,-34.6197884652806,-58.4311772200033,Caballito,6,2020-03-27,1
3399,6_19,-34.6197884652806,-58.4311772200033,Caballito,6,2020-03-29,2
3400,6_19,-34.6197884652806,-58.4311772200033,Caballito,6,2020-04-12,2
3401,6_19,-34.6197884652806,-58.4311772200033,Caballito,6,2020-04-15,1
3402,6_19,-34.6197884652806,-58.4311772200033,Caballito,6,2020-04-22,1
3403,6_19,-34.6197884652806,-58.4311772200033,Caballito,6,2020-05-08,1
3404,6_19,-34.6197884652806,-58.4311772200033,Caballito,6,2020-05-13,1
3405,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-03-22,4
3406,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-03-24,1
3407,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-03-26,2
3408,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-03-27,3
3409,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-03-21,2
3410,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-04-15,2
3411,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-04-18,2
3412,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-04-19,1
3413,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-04-22,2
3414,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-04-26,1
3415,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-04-27,2
3416,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-05-03,1
3417,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-05-04,1
3418,6_2,-34.6158481242383,-58.4540324154346,Caballito,6,2020-05-18,2
3419,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-03-23,1
3420,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-03-24,1
3421,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-03-25,2
3422,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-03-27,2
3423,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-03-21,2
3424,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-03-22,1
3425,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-04-19,1
3426,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-04-17,1
